id,昵称,视频名称,观看时间,是否PC登陆,
362,吖頭,透视表中如何对日期进行分组,2015-12-08 13:08:06,否,
363,吖頭,透视表中如何对日期进行分组,2015-12-08 13:08:11,否,
364,吖頭,透视表中如何对日期进行分组,2015-12-08 13:08:33,否,
365,吖頭,透视表中如何对日期进行分组,2015-12-08 13:09:59,否,
366,吖頭,表格安全性（就不让你改）,2015-12-08 13:11:45,否,
367,吖頭,表格安全性（你一定找不到）,2015-12-08 13:15:06,否,
368,朱晶,透视表中如何对日期进行分组,2015-12-08 13:21:14,否,
369,吖頭,透视表中如何对日期进行分组,2015-12-08 13:21:16,否,
370,吖頭,透视表中如何对日期进行分组,2015-12-08 13:21:33,否,
371,西木林夕,公式为什么不算了,2015-12-08 13:25:32,是,
372,西木林夕,大数据下如何流畅的编写公式,2015-12-08 13:26:01,是,
373,西木林夕,如何调试公式,2015-12-08 13:26:23,是,
374,西木林夕,如何检查报价有遗漏,2015-12-08 13:26:32,是,
375,西木林夕,Excel斜线表头如何做,2015-12-08 13:26:48,是,
376,西木林夕,Excel斜线表头如何做,2015-12-08 13:26:53,是,
377,西木林夕,Excel斜线表头如何做,2015-12-08 13:26:55,是,
378,杨洋,级联式下拉列表制作的方法（表格模板）,2015-12-08 13:38:32,否,
381,吖頭,透视表中如何对日期进行分组,2015-12-08 13:49:41,否,
382,吖頭,Excel中的格式刷,2015-12-08 13:49:58,否,
383,吖頭,打印时，一页放不下，如何进行调整设置,2015-12-08 13:52:09,否,
384,吖頭,Excel中如何去除重复数据,2015-12-08 13:55:17,否,
400,回归线李老师,从身份证号中计算性别的公式,2015-12-09 08:14:53,否,
401,回归线李老师,从身份证号中计算性别的公式,2015-12-09 08:15:17,否,
403,回归线李老师,排序时出现”是否要扩展区域“的提醒,2015-12-09 08:17:01,否,
433,颖宝贝,快速删除空行空列的方法,2015-12-09 11:22:30,否,
435,嘉祺,如何筛选出带有问号或星号的数据.mp4,2015-12-09 14:15:49,是,
436,嘉祺,对筛选后的数据进行计算,2015-12-09 14:18:32,是,
437,嘉祺,数据拆分（分列—固定宽度）,2015-12-09 14:26:06,是,
438,嘉祺,表格安全性（就不给你看）,2015-12-09 14:34:11,是,
439,嘉祺,表格安全性（就不让你改）,2015-12-09 14:36:37,是,
440,嘉祺,表格安全性（你一定找不到）,2015-12-09 14:38:56,是,
441,嘉祺,公式为什么不算了,2015-12-09 14:49:37,是,
442,嘉祺,大数据下如何流畅的编写公式,2015-12-09 14:52:11,是,
443,嘉祺,如何调试公式,2015-12-09 14:56:14,是,
444,嘉祺,如何检查报价有遗漏,2015-12-09 14:59:27,是,
445,嘉祺,取消合并单元格后，如何将数据快速补全,2015-12-09 15:02:48,是,
446,嘉祺,排序时出现”是否要扩展区域“的提醒,2015-12-09 15:09:55,是,
447,嘉祺,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-09 15:13:07,是,
448,吖頭,级联式下拉列表制作的方法（表格模板）,2015-12-09 15:48:32,否,
449,吖頭,级联式下拉列表制作的方法（表格模板）,2015-12-09 15:56:26,否,
450,吖頭,合同到期日的计算,2015-12-09 15:57:30,否,
451,嘉祺,单元格中制作下拉选项（表格模板）,2015-12-09 15:59:16,是,
452,嘉祺,如何更改Excel默认的字体、字号,2015-12-09 16:02:19,是,
453,嘉祺,查错：快速找出数据中错误的日期,2015-12-09 16:04:00,是,
454,嘉祺,比较两列数据，不同的自动标注,2015-12-09 16:07:57,是,
455,嘉祺,透视表字段改时，提示已有相同透视表字段名存在,2015-12-09 16:13:52,是,
456,嘉祺,数据类型：文本数值转数值（两种方法）,2015-12-09 16:15:22,是,
457,嘉祺,级联式下拉列表制作的方法（表格模板）,2015-12-09 16:20:28,是,
467,Christ_cxb,Excel中如何去除重复数据,2015-12-10 06:25:09,否,
468,淳淳, 快速打乱数据顺序（随机排序的方法）,2015-12-10 06:31:32,否,
469,小洋儿,从身份证号中计算性别的公式,2015-12-10 06:32:20,否,
470,屈屈,如何创建一个透视表,2015-12-10 06:35:10,否,
471,,快速删除空行空列的方法,2015-12-10 06:47:44,否,
472,淳淳,表头中有合并单元格，排序时报错如何处理,2015-12-10 06:49:54,否,
473,高欣欣。,数据拆分（分列—分隔符号）,2015-12-10 06:56:50,否,
474,清清,透视表中如何对日期进行分组,2015-12-10 06:57:59,否,
475,杨海山,计算年龄、工龄的正确方式,2015-12-10 06:58:30,否,
476,高欣欣。,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-10 07:00:36,否,
477,杨海山,Excel通过身份证号计算出生日期,2015-12-10 07:02:49,否,
478,dfz13146789,用颜色自动标注周六日日期,2015-12-10 07:05:01,否,
480,dfz13146789,限定某个区域禁止输入重复值,2015-12-10 07:08:20,否,
481,朱俊杰,如何调试公式,2015-12-10 07:08:27,否,
482,惠迎,自定义排序（按职位高低进行排序）,2015-12-10 07:08:55,否,
483,彦东,如何筛选出带有问号或星号的数据.mp4,2015-12-10 07:12:10,否,
484,惠迎,如何筛选出带有问号或星号的数据.mp4,2015-12-10 07:12:15,否,
485,dfz13146789,数据拆分（分列—固定宽度）,2015-12-10 07:12:27,否,
486,司国祥,表格安全性（就不让你改）,2015-12-10 07:13:11,否,
487,彦东,对筛选后的数据进行计算,2015-12-10 07:14:45,否,
488,dfz13146789,表格安全性（就不给你看）,2015-12-10 07:15:23,否,
489,彦东,表格安全性（就不给你看）,2015-12-10 07:15:31,否,
490,惠迎,取消合并单元格后，如何将数据快速补全,2015-12-10 07:16:57,否,
491,dfz13146789,表格安全性（就不让你改）,2015-12-10 07:17:56,否,
492,彦东,表格安全性（你一定找不到）,2015-12-10 07:18:07,否,
493,淳淳,如何检查报价有遗漏,2015-12-10 07:18:31,否,
494,dfz13146789,表格安全性（你一定找不到）,2015-12-10 07:20:18,否,
495,惠迎,Excel中的格式刷,2015-12-10 07:20:22,否,
496,惠迎,Excel斜线表头如何做,2015-12-10 07:22:34,否,
497,高慧妍,大数据下如何流畅的编写公式,2015-12-10 07:24:11,是,
498,淳淳,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:25:01,否,
499,高慧妍,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:25:50,是,
500,惠迎,Excel中如何去除重复数据,2015-12-10 07:26:22,否,
501,高慧妍,合同到期日的计算,2015-12-10 07:27:54,是,
502,高慧妍,查错：快速找出数据中错误的日期,2015-12-10 07:30:22,是,
503,高慧妍,比较两列数据，不同的自动标注,2015-12-10 07:32:30,是,
504,淳淳,公式为什么不算了,2015-12-10 07:36:49,否,
505,高慧妍,从身份证号中计算性别的公式,2015-12-10 07:38:20,是,
506,午建中,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:39:40,是,
507,高慧妍,如何创建一个透视表,2015-12-10 07:41:40,是,
508,午建中,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:41:44,否,
509,淳淳,排序时出现”是否要扩展区域“的提醒,2015-12-10 07:42:23,否,
510,午建中,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:43:29,是,
511,午建中,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:43:36,是,
512,午建中,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 07:43:41,是,
513,高慧妍,透视表中如何对日期进行分组,2015-12-10 07:44:24,是,
514,高慧妍,快速删除空行空列的方法,2015-12-10 07:45:24,是,
515,午建中,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 07:45:44,是,
516,午建中,大数据下如何流畅的编写公式,2015-12-10 07:45:57,是,
517,高慧妍,表格安全性（就不给你看）,2015-12-10 07:46:02,是,
518,午建中,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 07:46:09,是,
519,午建中,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 07:46:11,是,
520,午建中,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 07:46:18,是,
521,高慧妍,表格安全性（就不给你看）,2015-12-10 07:46:38,是,
522,~~bigbang,如何为Excel文件设置密码,2015-12-10 07:47:01,否,
523,午建中,大数据下如何流畅的编写公式,2015-12-10 07:49:17,是,
524,午建中,大数据下如何流畅的编写公式,2015-12-10 07:49:24,是,
525,惠迎,数据类型：文本数值转数值（两种方法）,2015-12-10 07:49:36,否,
526,午建中,大数据下如何流畅的编写公式,2015-12-10 07:49:38,是,
528,午建中,大数据下如何流畅的编写公式,2015-12-10 07:50:43,是,
529,午建中,大数据下如何流畅的编写公式,2015-12-10 07:50:48,是,
530,午建中,大数据下如何流畅的编写公式,2015-12-10 07:50:50,是,
531,午建中,大数据下如何流畅的编写公式,2015-12-10 07:50:52,是,
532,午建中,级联式下拉列表制作的方法（表格模板）,2015-12-10 07:51:03,是,
533,午建中,级联式下拉列表制作的方法（表格模板）,2015-12-10 07:51:07,是,
534,午建中,级联式下拉列表制作的方法（表格模板）,2015-12-10 07:51:09,是,
536,午建中,级联式下拉列表制作的方法（表格模板）,2015-12-10 07:52:16,是,
537,淳淳,打印时，一页放不下，如何进行调整设置,2015-12-10 07:53:18,否,
538,惠迎,Excel通过身份证号计算出生日期,2015-12-10 07:54:17,否,
540,天河的土, 快速打乱数据顺序（随机排序的方法）,2015-12-10 08:04:44,否,
541,天河的土,限定某个区域禁止输入重复值,2015-12-10 08:07:09,否,
542,天河的土,限定某个区域禁止输入重复值,2015-12-10 08:07:10,否,
543,近水楼台,如何调试公式,2015-12-10 08:09:44,否,
544,淳淳,如何更改Excel默认的字体、字号,2015-12-10 08:11:31,否,
545,近水楼台,单元格中制作下拉选项（表格模板）,2015-12-10 08:12:18,否,
548,天河的土,限定某个区域禁止输入重复值,2015-12-10 08:15:14,否,
549,天河的土,限定某个区域禁止输入重复值,2015-12-10 08:15:14,否,
550,天河的土,限定某个区域禁止输入重复值,2015-12-10 08:15:31,否,
551,近水楼台,数据拆分（分列—分隔符号）,2015-12-10 08:15:40,否,
552,淳淳,用颜色自动标注周六日日期,2015-12-10 08:18:04,否,
553,近水楼台,计算年龄、工龄的正确方式,2015-12-10 08:18:46,否,
554,近水楼台,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-10 08:22:39,否,
555,近水楼台,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-10 08:24:54,否,
559,午建中,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 10:07:29,是,
561,布老虎,限定某个区域禁止输入重复值,2015-12-10 10:24:41,是,
562,布老虎,用颜色自动标注周六日日期,2015-12-10 10:30:46,是,
563,布老虎,大数据下如何流畅的编写公式,2015-12-10 10:36:51,是,
564,布老虎,Excel斜线表头如何做,2015-12-10 10:42:21,是,
565,布老虎,单元格中制作下拉选项（表格模板）,2015-12-10 10:46:23,是,
566,布老虎,如何创建一个透视表,2015-12-10 10:51:29,是,
567,布老虎,表格安全性（就不让你改）,2015-12-10 10:58:47,是,
568,小傅,查找替换时精确匹配问题,2015-12-10 10:59:29,否,
569,布老虎,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 11:01:29,是,
570,小傅,自定义排序（按职位高低进行排序）,2015-12-10 11:03:26,否,
571,布老虎,Excel中的格式刷,2015-12-10 11:05:39,是,
572,小傅,如何创建一个透视表,2015-12-10 11:07:56,否,
573,张小建 ,如何筛选出带有问号或星号的数据.mp4,2015-12-10 11:09:35,否,
577,vivi,对筛选后的数据进行计算,2015-12-10 12:13:33,否,
578,vivi,对筛选后的数据进行计算,2015-12-10 12:13:57,否,
579,vivi,表格安全性（你一定找不到）,2015-12-10 12:14:10,否,
580,王近东,取消合并单元格后，如何将数据快速补全,2015-12-10 12:25:20,否,
581,杨海山,Excel中如何去除重复数据,2015-12-10 12:45:53,否,
582,钟波,公式为什么不算了,2015-12-10 12:47:30,否,
583,钟波,查错：快速找出数据中错误的日期,2015-12-10 12:49:28,否,
584,杨海山,比较两列数据，不同的自动标注,2015-12-10 12:49:46,否,
585,钟波,打印时，一页放不下，如何进行调整设置,2015-12-10 12:50:07,否,
586,淳淳,用颜色自动标注周六日日期,2015-12-10 12:50:53,否,
587,杨海山,表格安全性（就不给你看）,2015-12-10 12:53:12,否,
588,颖宝贝,从身份证号中计算性别的公式,2015-12-10 12:53:52,否,
589,杨海山,表格安全性（就不让你改）,2015-12-10 13:04:17,否,
590,杨海山,透视表中如何对日期进行分组,2015-12-10 13:06:56,否,
591,杨海山,大数据下如何流畅的编写公式,2015-12-10 13:10:33,否,
592,淳淳,透视表字段改时，提示已有相同透视表字段名存在,2015-12-10 13:20:44,否,
593,淳淳,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-10 13:21:34,否,
594,淳淳,快速删除空行空列的方法,2015-12-10 13:22:41,否,
595,小洋儿,排序时出现”是否要扩展区域“的提醒,2015-12-10 13:35:50,否,
596,淳淳,如何调试公式,2015-12-10 13:36:49,否,
597,王正华,如何检查报价有遗漏,2015-12-10 13:37:47,否,
598,淳淳,级联式下拉列表制作的方法（表格模板）,2015-12-10 13:38:19,否,
599,小洋儿,如何为Excel文件设置密码,2015-12-10 13:40:44,否,
600,王正华,表头中有合并单元格，排序时报错如何处理,2015-12-10 13:40:47,否,
601,小洋儿,数据类型：文本数值转数值（两种方法）,2015-12-10 13:42:34,否,
602,王正华,数据类型：文本数值转数值（两种方法）,2015-12-10 13:42:51,否,
603,王正华,如何更改Excel默认的字体、字号,2015-12-10 13:43:30,否,
604,王正华,表格安全性（就不给你看）,2015-12-10 13:44:28,否,
605,淳淳,Excel斜线表头如何做,2015-12-10 13:46:28,否,
606,小洋儿,表头中有合并单元格，排序时报错如何处理,2015-12-10 13:47:08,否,
607,王正华,表格安全性（就不给你看）,2015-12-10 13:47:11,否,
608,王正华,表格安全性（就不给你看）,2015-12-10 13:47:25,否,
609,王正华,表格安全性（就不给你看）,2015-12-10 13:47:35,否,
610,王正华,Excel通过身份证号计算出生日期,2015-12-10 13:49:43,否,
611,王正华,Excel通过身份证号计算出生日期,2015-12-10 13:49:50,否,
612,小洋儿,表头中有合并单元格，排序时报错如何处理,2015-12-10 13:49:57,否,
613,小洋儿,表头中有合并单元格，排序时报错如何处理,2015-12-10 13:51:28,否,
614,小洋儿,Excel通过身份证号计算出生日期,2015-12-10 13:52:03,否,
615,小洋儿,透视表中如何对日期进行分组,2015-12-10 13:55:38,否,
616,小洋儿,表头中有合并单元格，排序时报错如何处理,2015-12-10 13:59:06,否,
617,小洋儿, 快速打乱数据顺序（随机排序的方法）,2015-12-10 14:00:52,否,
618,小洋儿,从身份证号中计算性别的公式,2015-12-10 14:02:36,否,
619,雪咖,Excel中的格式刷,2015-12-10 14:05:06,否,
620,小洋儿,单元格中制作下拉选项（表格模板）,2015-12-10 14:05:36,否,
621,小洋儿,合同到期日的计算,2015-12-10 14:09:53,否,
622,小洋儿,合同到期日的计算,2015-12-10 14:12:27,否,
623,小洋儿,大数据下如何流畅的编写公式,2015-12-10 14:13:06,否,
624,小洋儿,大数据下如何流畅的编写公式,2015-12-10 14:17:32,否,
625,小洋儿,Excel中的格式刷,2015-12-10 14:18:09,否,
626,小洋儿,Excel斜线表头如何做,2015-12-10 14:19:47,否,
627,小洋儿,Excel中如何去除重复数据,2015-12-10 14:24:19,否,
628,赏雪的鱼,取消合并单元格后，如何将数据快速补全,2015-12-10 14:37:24,否,
629,静默,数据拆分（分列—分隔符号）,2015-12-10 15:06:25,否,
630,静默,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-10 15:09:59,否,
631,静默,计算年龄、工龄的正确方式,2015-12-10 15:12:20,否,
632,静默,对筛选后的数据进行计算,2015-12-10 15:19:08,否,
633,在路上,如何创建一个透视表,2015-12-10 15:37:28,否,
634,在路上,数据拆分（分列—固定宽度）,2015-12-10 16:08:22,否,
635,在路上,查找替换时精确匹配问题,2015-12-10 16:11:50,否,
636,在路上,限定某个区域禁止输入重复值,2015-12-10 16:14:12,否,
652,高山流水,从身份证号中计算性别的公式,2015-12-11 02:18:09,否,
653,苏苏,查错：快速找出数据中错误的日期,2015-12-11 02:24:10,否,
654,cyh24,级联式下拉列表制作的方法（表格模板）,2015-12-11 02:26:39,否,
655,cyh24,如何为Excel文件设置密码,2015-12-11 02:30:09,否,
656,cyh24,如何为Excel文件设置密码,2015-12-11 02:31:43,否,
657,cyh24,如何筛选出带有问号或星号的数据.mp4,2015-12-11 02:34:08,否,
658,cyh24,查错：快速找出数据中错误的日期,2015-12-11 02:35:58,否,
659,cyh24,如何筛选出带有问号或星号的数据.mp4,2015-12-11 02:37:32,否,
660,cyh24,查错：快速找出数据中错误的日期,2015-12-11 02:38:22,否,
661,cyh24,如何筛选出带有问号或星号的数据.mp4,2015-12-11 02:39:00,否,
662,颖宝贝,Excel斜线表头如何做,2015-12-11 07:26:54,否,
663,龘犇,如何筛选出带有问号或星号的数据.mp4,2015-12-11 07:37:32,否,
664,y,如何筛选出带有问号或星号的数据.mp4,2015-12-11 07:49:22,是,
665,y,如何筛选出带有问号或星号的数据.mp4,2015-12-11 07:52:04,是,
666,y,如何筛选出带有问号或星号的数据.mp4,2015-12-11 07:52:30,是,
667,y,如何筛选出带有问号或星号的数据.mp4,2015-12-11 08:43:14,是,
668,李栋,如何筛选出带有问号或星号的数据.mp4,2015-12-11 09:00:01,是,
669,李栋,查错：快速找出数据中错误的日期,2015-12-11 09:00:20,是,
670,李栋,表格安全性（就不让你改）,2015-12-11 09:00:25,是,
671,李栋,Excel通过身份证号计算出生日期,2015-12-11 09:00:36,是,
672,cyh24,如何为Excel文件设置密码,2015-12-11 10:01:09,否,
673,飞翔的艳子,Excel斜线表头如何做,2015-12-11 10:32:01,是,
674,清茶淡墨,比较两列数据，不同的自动标注,2015-12-11 10:32:04,否,
675,飞翔的艳子,合同到期日的计算,2015-12-11 10:35:50,是,
676,清茶淡墨,比较两列数据，不同的自动标注,2015-12-11 10:38:02,否,
677,飞翔的艳子,表头中有合并单元格，排序时报错如何处理,2015-12-11 10:38:45,是,
678,清茶淡墨,表头中有合并单元格，排序时报错如何处理,2015-12-11 10:39:25,否,
679,我心飞翔,如何筛选出带有问号或星号的数据.mp4,2015-12-11 10:40:33,是,
680,我心飞翔,查错：快速找出数据中错误的日期,2015-12-11 10:41:07,是,
681,我心飞翔,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-11 10:41:13,是,
682,我心飞翔,如何为Excel文件设置密码,2015-12-11 10:41:18,是,
683,我心飞翔,如何调试公式,2015-12-11 10:41:24,是,
684,我心飞翔,透视表字段改时，提示已有相同透视表字段名存在,2015-12-11 10:41:30,是,
685,我心飞翔,表格安全性（就不让你改）,2015-12-11 10:41:34,是,
686,我心飞翔,透视表中如何对日期进行分组,2015-12-11 10:41:47,是,
687,我心飞翔,表头中有合并单元格，排序时报错如何处理,2015-12-11 10:41:53,是,
688,我心飞翔,大数据下如何流畅的编写公式,2015-12-11 10:42:28,是,
689,我心飞翔,限定某个区域禁止输入重复值,2015-12-11 10:42:40,是,
690,我心飞翔,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-11 10:42:44,是,
691,我心飞翔,数据拆分（分列—固定宽度）,2015-12-11 10:42:48,是,
692,我心飞翔,打印时，一页放不下，如何进行调整设置,2015-12-11 10:42:53,是,
693,我心飞翔,自定义排序（按职位高低进行排序）,2015-12-11 10:43:11,是,
694,清茶淡墨,表头中有合并单元格，排序时报错如何处理,2015-12-11 10:44:51,否,
695,cyh24,如何为Excel文件设置密码,2015-12-11 10:53:35,否,
696,。,用颜色自动标注周六日日期,2015-12-11 11:18:11,否,
697,。,表格安全性（你一定找不到）,2015-12-11 11:19:02,否,
698,。,自定义排序（按职位高低进行排序）,2015-12-11 11:19:20,否,
699,。,用颜色自动标注周六日日期,2015-12-11 11:20:31,否,
700,。,表格安全性（你一定找不到）,2015-12-11 11:20:45,否,
701,。,自定义排序（按职位高低进行排序）,2015-12-11 11:20:55,否,
702,。,用颜色自动标注周六日日期,2015-12-11 11:26:09,否,
703,cyh24,查找替换时精确匹配问题,2015-12-11 11:44:39,否,
704,李栋,单元格中制作下拉选项（表格模板）,2015-12-11 11:44:50,是,
705,李栋,Excel通过身份证号计算出生日期,2015-12-11 11:45:00,是,
706,做个豆吧，别在做梦,如何筛选出带有问号或星号的数据.mp4,2015-12-11 11:55:25,是,
707,做个豆吧，别在做梦,如何筛选出带有问号或星号的数据.mp4,2015-12-11 11:55:55,是,
708,做个豆吧，别在做梦,如何筛选出带有问号或星号的数据.mp4,2015-12-11 11:56:25,是,
709,做个豆吧，别在做梦,如何筛选出带有问号或星号的数据.mp4,2015-12-11 11:56:39,是,
710,做个豆吧，别在做梦,快速删除空行空列的方法,2015-12-11 11:56:56,是,
711,我心飞翔,级联式下拉列表制作的方法（表格模板）,2015-12-11 12:05:18,是,
712,我心飞翔,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-11 12:05:22,是,
713,小洋儿,常用操作.对齐,2015-12-11 12:17:48,是,
714,小洋儿,常用操作.套用表格样式,2015-12-11 12:18:04,是,
715,小洋儿,常用操作.对齐,2015-12-11 12:18:26,是,
716,梅子,表格安全性（你一定找不到）,2015-12-11 12:36:18,否,
717,梅子,自定义排序（按职位高低进行排序）,2015-12-11 12:36:46,否,
718,钟飞宇,查错：快速找出数据中错误的日期,2015-12-11 12:37:32,否,
719,小洋儿,常用操作.套用表格样式,2015-12-11 12:43:11,是,
720,小洋儿,查找替换时精确匹配问题,2015-12-11 12:47:53,是,
721,小洋儿,排序时出现”是否要扩展区域“的提醒,2015-12-11 12:50:11,是,
722,小洋儿,排序时出现”是否要扩展区域“的提醒,2015-12-11 12:52:54,是,
723,小洋儿,自定义排序（按职位高低进行排序）,2015-12-11 12:57:38,是,
724,小洋儿,公式为什么不算了,2015-12-11 13:00:17,是,
725,小洋儿,计算年龄、工龄的正确方式,2015-12-11 13:01:58,是,
726,独度,比较两列数据，不同的自动标注,2015-12-11 13:15:01,否,
727,独度,如何为Excel文件设置密码,2015-12-11 13:15:33,否,
728,独度,从身份证号中计算性别的公式,2015-12-11 13:20:41,否,
729,独度,边框及填充,2015-12-11 13:22:37,否,
730,小洋儿,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-11 13:38:05,是,
731,小洋儿,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-11 13:38:26,是,
732,小洋儿,从身份证号中计算性别的公式,2015-12-11 13:38:54,是,
733,开心,表格安全性（就不让你改）,2015-12-11 13:38:59,否,
734,小洋儿,从身份证号中计算性别的公式,2015-12-11 13:43:34,是,
735,小洋儿,从身份证号中计算性别的公式,2015-12-11 13:43:50,是,
736,小洋儿,从身份证号中计算性别的公式,2015-12-11 13:44:06,是,
737,小洋儿,Excel通过身份证号计算出生日期,2015-12-11 13:44:12,是,
738,小洋儿,从身份证号中计算性别的公式,2015-12-11 13:44:20,是,
739,小洋儿,Excel中输入身份证号后显示不全，如何解决.mp4,2015-12-11 13:46:56,是,
740,静,比较两列数据，不同的自动标注,2015-12-11 14:38:14,否,
741,静,如何筛选出带有问号或星号的数据.mp4,2015-12-11 14:40:39,是,
742,黄施金（英语+maker）,表格安全性（就不让你改）,2015-12-11 14:41:01,否,
743,黄施金（英语+maker）,如何调试公式,2015-12-11 14:44:14,否,
744,静,查错：快速找出数据中错误的日期,2015-12-11 14:54:17,是,
745,静,用颜色自动标注周六日日期,2015-12-11 14:57:26,是,
746,静,比较两列数据，不同的自动标注,2015-12-11 15:00:48,是,
747,静,比较两列数据，不同的自动标注,2015-12-11 15:02:48,是,
748,静,如何将Excel中我最常用的一些功能放到一个选项卡下.mp4,2015-12-11 15:06:04,是,
749,李栋,如何筛选出带有问号或星号的数据.mp4,2015-12-11 15:06:23,否,
750,李栋,查错：快速找出数据中错误的日期,2015-12-11 15:06:32,否,
751,李栋,快速删除空行空列的方法,2015-12-11 15:06:41,否,
752,李栋,表头中有合并单元格，排序时报错如何处理,2015-12-11 15:06:55,否,
753,Aimee,用颜色自动标注周六日日期,2015-12-11 15:13:32,否,
754,Aimee,表格安全性（你一定找不到）,2015-12-11 15:13:55,否,
755,Aimee,自定义排序（按职位高低进行排序）,2015-12-11 15:14:18,否,
756,高慧妍,用颜色自动标注周六日日期,2015-12-11 15:15:40,是,
757,高慧妍,自定义排序（按职位高低进行排序）,2015-12-11 15:17:22,是,
758,静,数据拆分（分列—分隔符号）,2015-12-11 15:18:06,是,
759,大米,用颜色自动标注周六日日期,2015-12-11 15:22:08,是,
760,Anny,如何筛选出带有问号或星号的数据.mp4,2015-12-11 15:22:44,是,
761,Annie,表格安全性（就不让你改）,2015-12-11 15:28:39,是,
762,Anny,表格安全性（就不让你改）,2015-12-11 15:38:09,是,
763,Anny,用颜色自动标注周六日日期,2015-12-11 15:40:52,是,
764,张丽萍,用颜色自动标注周六日日期,2015-12-11 16:20:31,是,
765,Jayne 畅,如何筛选出带有问号或星号的数据.mp4,2015-12-11 16:25:44,否,
766,张丽萍,比较两列数据，不同的自动标注,2015-12-11 16:34:38,是,
767,张丽萍,用颜色自动标注周六日日期,2015-12-11 16:56:11,是,
